,open,close,high,low,volume,open interest
20171215,14290,14415,14500,14250,485676,339872
20171218,14450,14560,14725,14385,602080,351980
20171219,14560,14420,14560,14250,417764,344600
20171220,14450,14470,14580,14350,426326,350954
20171221,14480,14365,14620,14300,441452,354924
20171222,14360,14005,14400,13890,695814,361582
20171225,14050,14030,14210,13980,429952,367588
20171226,14025,14315,14400,13700,619972,364198
20171227,14300,14170,14410,14135,451242,365680
20171228,14170,14200,14250,13950,489628,364728
20171229,14170,14105,14255,14035,388104,361926
20180102,14090,14340,14430,14080,381536,367234
20180103,14340,14295,14460,14240,327334,374936
20180104,14280,14115,14280,13990,564406,404120
20180105,14095,14090,14160,13920,447564,405010
20180108,14060,14075,14110,13960,319626,413072
20180109,14090,14075,14200,14010,368066,413940
20180110,14100,14035,14280,13985,527278,416768
20180111,14090,14170,14195,14050,336572,405546
20180112,14220,14295,14405,14185,563098,407302
20180115,14290,14445,14500,14130,390868,413742
20180116,14440,14225,14475,14155,437546,409008
20180117,14185,14145,14285,14070,322056,409030
20180118,14120,14165,14280,14115,310410,412314
20180119,14145,14065,14230,13975,494914,432858
20180122,14095,14075,14150,14000,321526,438652
20180123,14035,13795,14135,13760,543608,491676
20180124,13750,13775,13840,13645,266134,486616
20180125,13785,13755,13900,13700,393930,488396
20180126,13755,13770,13870,13730,301580,485152
20180129,13730,13770,13950,13620,418768,481884
20180130,13770,13395,13825,13330,560042,508666
20180131,13400,13120,13440,12880,576542,509238
20180201,13180,12955,13185,12890,347664,510868
20180202,12990,13005,13075,12965,263916,509384
20180205,12990,13055,13105,12790,350518,499050
20180206,13065,12585,13135,12500,599878,506882
20180207,12635,12655,12730,12580,271528,491602
20180208,12650,12390,12690,12280,472784,490542
20180209,12420,12450,12495,12225,350406,465470
20180212,12420,12520,12685,12400,290064,455634
20180213,12495,12450,12580,12380,220900,447754
20180214,12435,12500,12550,12320,269100,429866
20180222,12545,12500,12675,12370,216152,439456
20180223,12510,12850,12940,12505,450308,425890
20180226,12850,12935,12975,12810,303970,417918
20180227,12930,12885,12955,12765,296358,408132
20180228,12865,13030,13100,12710,458812,401278
20180301,13045,13010,13075,12925,287962,398062
20180302,12900,12950,13000,12770,293706,394754
20180305,12905,13055,13185,12905,425548,391132
20180306,13020,12930,13090,12850,341572,387948
20180307,12945,12865,12965,12810,304098,390964
20180308,12835,12910,13035,12740,405380,384874
20180309,12905,12620,13050,12555,582352,391748
20180312,12670,12695,12795,12570,338148,386428
20180313,12680,12695,12745,12610,253366,387448
20180314,12720,12775,12880,12675,372494,379652
20180315,12800,12810,12850,12685,294284,379934
20180316,12790,12580,12880,12515,484914,404824
20180319,12600,12510,12640,12425,303680,399774
20180320,12540,12240,12570,12075,481012,403044
20180321,12255,12130,12275,12110,270522,401216
20180322,12105,12130,12250,12055,282496,394462
20180323,12095,11305,12140,11305,548548,356612
20180326,11205,11020,11260,10830,701844,316336
20180327,11070,11175,11270,10995,338128,296766
20180328,11200,11075,11225,10890,374110,279464
20180329,11080,11100,11150,11000,253650,264128
20180330,11120,11290,11390,10985,379936,233958
20180402,11650,11575,11650,11445,310676,344968
20180403,11560,11430,11635,11260,504570,366560
20180404,11415,11340,11470,11285,336852,380348
20180409,11395,11450,11495,11340,289784,396210
20180410,11470,11580,11675,11425,477604,407648
20180411,11595,11480,11685,11405,466266,421774
20180412,11495,11480,11555,11320,456574,425692
20180413,11450,11505,11570,11390,356604,433492
20180416,11515,11135,11565,11015,745558,488406
20180417,11180,11090,11185,11040,391828,491768
20180418,11155,11190,11245,11085,453036,486982
20180419,11275,11780,11835,11235,998972,480006
20180420,11750,11555,11810,11480,705064,483408
20180423,11530,11680,11765,11490,566360,493214
20180424,11605,11530,11665,11400,541200,497460
20180425,11575,11605,11710,11505,512218,501432
20180426,11620,11420,11635,11370,530580,515296
20180427,11445,11290,11475,11160,638712,522830
20180502,11395,11525,11600,11310,397548,511560
20180503,11520,11605,11610,11440,420914,516374
20180504,11610,11615,11720,11555,599994,517530
20180507,11595,11765,11920,11510,692242,524620
20180508,11785,11735,11800,11675,387642,525332
20180509,11730,11605,11730,11520,477848,523126
20180510,11635,11680,11820,11610,557260,528030
20180511,11705,11680,11750,11615,518358,532834
20180514,11650,11600,11765,11550,515274,539910
20180515,11560,11440,11660,11325,678582,552476
20180516,11430,11455,11545,11250,616324,538432
20180517,11455,11445,11520,11405,394282,533086
20180518,11460,11765,11920,11430,819428,525320
20180521,11760,12230,12355,11690,1083342,550932
20180522,12225,12155,12280,12070,607234,550316
20180523,12165,11860,12340,11705,962736,536404
20180524,11810,11855,11925,11765,440170,532728
20180525,11850,11875,11950,11720,560894,529550
20180528,11840,11720,11850,11610,496938,524036
20180529,11720,11930,12115,11660,682104,534696
20180530,11920,11655,12050,11635,698708,538568
20180531,11650,11670,11805,11550,461718,536034
20180601,11640,11680,11875,11615,604198,539260
20180604,11710,11695,11790,11655,415916,537342
20180605,11695,11605,11880,11455,711104,545262
20180606,11600,11620,11660,11550,357328,541808
20180607,11605,11685,11775,11605,462706,535790
20180608,11705,11415,11740,11355,649292,569772
20180611,11430,11400,11470,11330,365894,565188
20180612,11370,11400,11500,11255,467836,561600
20180613,11400,10835,11440,10600,1114164,556640
20180614,10850,10810,10920,10665,638062,534970
20180615,10820,10790,10915,10730,421016,519196
20180619,10685,10190,10695,10050,729242,485994
20180620,10200,10350,10400,10165,385562,467202
20180621,10305,10340,10455,10300,350540,465152
20180622,10350,10480,10530,10260,527132,452052
20180625,10460,10470,10595,10380,414638,451420
20180626,10450,10485,10540,10275,421838,443406
20180627,10500,10490,10550,10420,298334,439456
20180628,10520,10455,10680,10415,429010,440704
20180629,10445,10575,10625,10430,341204,429202
20180702,10570,10445,10695,10380,470290,440014
20180703,10450,10535,10545,10395,286514,425950
20180704,10550,10410,10565,10310,367772,434480
20180705,10395,10405,10435,10220,447266,428202
20180706,10410,10335,10470,10250,415934,424660
20180709,10300,10495,10550,10270,343002,420342
20180710,10490,10335,10540,10250,397744,431726
20180711,10345,10315,10385,10150,386054,427646
20180712,10300,10355,10450,10240,363326,423256
20180713,10365,10325,10375,10250,292242,428480
20180716,10370,10275,10385,10230,299150,434982
20180717,10255,10335,10510,10235,516488,421140
20180718,10370,10405,10460,10345,274760,409778
20180719,10430,10305,10490,10260,400080,427162
20180720,10270,10285,10360,10235,281446,422446
20180723,10285,10160,10335,10110,442742,442690
20180724,10195,10110,10210,10050,347750,436454
20180725,10135,10320,10370,10120,433130,392920
20180726,10320,10295,10340,10255,235716,379376
20180727,10300,10285,10320,10155,333806,373940
20180730,10285,10300,10470,10250,432376,347940
20180731,10290,10340,10360,10225,322444,318006
20180801,10330,10220,10430,10185,313512,311428
20180802,10200,10235,10255,10150,204292,301178
20180803,10240,10155,10265,9960,332132,288842
20180806,10180,10325,10355,10120,292352,261530
20180807,10310,10485,10490,10225,247420,230810
20180808,12515,12500,12665,12365,481214,289416
20180809,12480,12580,12625,12420,426114,307750
20180810,12600,12380,12740,12305,548688,308994
20180813,12380,12475,12525,12335,313348,308584
20180814,12480,12345,12545,12225,458592,307996
20180815,12365,12355,12520,12280,391102,311984
20180816,12320,11890,12345,11585,705106,308716
20180817,11925,11725,11955,11725,364824,310184
20180820,11750,11915,11970,11710,418340,308300
20180821,11915,12650,12650,11800,770442,346850
20180822,12670,12580,12855,12405,965224,359192
20180823,12550,12375,12845,12345,801544,360556
20180824,12360,12480,12625,12330,488052,356056
20180827,12475,12515,12635,12370,440128,355974
20180828,12500,12275,12560,12220,554624,359566
20180829,12300,12340,12450,12290,328332,353200
20180830,12325,12455,12570,12315,534328,350720
20180831,12465,12360,12525,12355,376306,353584
20180903,12350,11990,12430,11875,586622,352262
20180904,12020,11975,12065,11940,311398,341926
20180905,12000,12010,12095,11905,333642,341450
20180906,12010,12060,12115,11965,291570,337682
20180907,12070,11975,12135,11760,559144,336912
20180910,11990,12040,12110,11945,306192,330308
20180911,12065,11930,12065,11905,308158,332602
20180912,11925,12270,12345,11850,496888,325850
20180913,12280,12420,12485,12205,448040,333082
20180914,12425,12330,12435,12275,274454,329404
20180917,12310,12125,12490,12035,441042,333192
20180918,12110,12135,12175,12000,286828,325840
20180919,12180,12135,12210,12035,323408,324182
20180920,12150,12570,12720,12110,746238,349598
20180921,12565,12465,12615,12415,411334,337930
20180925,12430,12515,12575,12355,272106,344946
20180926,12525,12505,12620,12445,326236,344754
20180927,12500,12285,12520,12275,308760,329896
20180928,12275,12360,12365,12185,265276,309666
20181008,12480,12330,12520,12220,257762,321724
20181009,12320,12750,12875,12315,740820,342966
20181010,12735,12585,12740,12505,335828,343858
20181011,12570,12160,12595,12125,534092,343988
20181012,12200,12305,12365,12195,318952,329050
20181015,12310,12205,12395,12160,332054,332830
20181016,12215,12105,12315,11935,444238,328210
20181017,12155,12270,12350,12100,343732,317202
20181018,12215,11990,12250,11910,441792,340320
20181019,12005,12015,12095,11890,301270,336286
20181022,12045,12060,12195,12020,359668,329754
20181023,12035,11935,12110,11930,300432,348698
20181024,11905,11945,11980,11835,297704,349672
20181025,11950,11785,12035,11535,530068,346456
20181026,11880,11835,11905,11745,285950,328522
20181029,11805,11340,11865,11280,599810,348540
20181030,11370,11350,11430,11230,294980,336112
20181031,11320,11230,11350,11130,385486,337644
20181101,11230,11265,11340,11125,348472,331268
20181102,11290,11370,11445,11200,417594,320254
20181105,11370,11125,11415,11015,432422,337664
20181106,11130,11235,11240,11100,275742,319278
20181107,11250,11320,11415,11235,384528,301122
20181108,11310,11330,11435,11220,335904,297580
20181109,11330,11300,11350,11190,277850,293918
20181112,11295,11160,11410,10975,477124,292524
20181113,11160,11225,11255,11035,269934,286826
20181114,11240,11285,11320,11070,354172,280746
20181115,11285,11180,11320,11120,272228,280032
20181116,11205,11225,11300,11080,364920,272852
20181119,11230,11115,11285,11050,352904,282178
20181120,11115,10885,11140,10755,411522,283482
20181121,10895,10855,10900,10530,391544,261810
20181122,10885,10785,10885,10705,232504,257214
20181123,10785,10730,10820,10555,350738,250886
20181126,10705,10940,10985,10680,485062,243912
20181127,10940,10765,10945,10705,346870,231466
